,Name,Mathches_played,Goals,Assist,Yellow_cards,Yellow_to_red,Red_cards,Minutes_played
3458,Szabolcs Huszti,35,10,8,5,0,0,2.895'
3459,Steve Mandanda,48,0,2,0,0,59,4.350'
3460,Alejandro Alonso,39,0,5,8,0,0,2.454'
3461,Grégory Coupet,30,0,0,0,0,27,2.730'
3462,Claudio Pizarro,32,2,4,1,0,0,1.298'
3463,Marcelinho Paraíba,57,16,16,5,0,0,4.639'
3464,Sergio Almirón,23,3,1,1,1,0,1.507'
3465,Henrique,5,1,0,1,0,0,450'
3466,Túlio de Melo,35,15,1,2,0,0,2.795'
3467,Fabio Liverani,39,1,3,5,0,0,2.799'
3468,Claude Makélélé,34,0,1,4,0,0,2.604'
3469,Juanfran,32,0,0,5,1,0,2.573'
3470,Andriy Voronin,28,6,4,2,0,0,1.573'
3471,Sotiris Kyrgiakos,25,3,0,9,0,0,2.162'
3472,Borja Valero,40,4,6,6,0,0,2.296'
3473,Lomana LuaLua,30,6,3,0,0,0,2.182'
3474,Michael Bradley,39,18,7,10,0,0,3.365'
3475,Roland Linz,35,16,1,2,0,0,2.782'
3476,Xisco,25,9,1,4,0,0,1.627'
3477,Alejandro Domínguez,31,7,10,5,0,0,2.013'
3478,Leandro Rinaudo,26,2,0,5,1,1,2.121'
3479,Orlando Engelaar,33,6,2,4,0,0,2.848'
3480,Milan Baros,34,3,8,3,0,0,1.734'
3481,George McCartney,44,1,4,5,0,0,3.738'
3482,Renato Augusto,9,1,2,0,0,0,470'
3483,Gerard Piqué,13,2,1,1,0,0,822'
3484,Fernando Tissone,35,3,5,7,0,0,2.584'
3485,Giandomenico Mesto,29,2,2,5,0,0,2.372'
3486,Yoann Gourcuff,20,1,2,1,0,0,759'
3487,Harry Kewell,15,0,4,0,0,0,757'
3488,Steve Finnan,35,0,2,2,0,0,2.866'
3489,Thiago Neves,18,7,5,2,0,2,1.438'
3490,Fred,30,8,5,5,0,0,1.723'
3491,Giovani dos Santos,38,4,7,6,0,0,1.730'
3492,Mauro Boselli,35,8,5,3,0,1,1.908'
3493,Jimmy Bullard,18,2,3,0,0,0,1.508'
3494,George Boateng,37,1,2,10,0,0,2.900'
3495,Karim El Ahmadi,40,0,4,8,0,0,3.448'
3496,Andrea Gasbarroni,26,5,5,7,0,1,1.660'
3497,Hilton,29,2,1,9,0,0,2.584'
3498,Steve Savidan,40,13,9,0,0,0,2.920'
3499,Didier Digard,19,0,0,2,0,0,1.332'
3500,Thierry Henry,27,12,5,4,0,0,2.220'
3501,Fernando Torres,36,14,0,5,1,0,3.095'
3502,Arjen Robben,37,3,6,3,0,0,2.240'
3503,Anderson,19,3,5,2,0,0,1.134'
3504,Franck Ribéry,36,6,12,7,0,0,2.957'
3505,Pepe,34,4,5,8,0,0,3.044'
3506,Luca Toni,29,16,4,4,0,1,2.325'
3507,Wesley Sneijder,47,22,13,13,0,1,3.966'
3508,Nani,36,6,6,6,0,0,2.861'
3509,Owen Hargreaves,17,0,1,2,0,0,1.500'
3510,Darren Bent,35,15,1,1,0,0,3.100'
3511,Alexandre Pato,18,10,1,1,0,0,1.375'
3512,Miroslav Klose,47,15,19,0,1,0,4.001'
3513,Adriano,30,6,11,1,0,0,1.804'
3514,Diego Forlán,38,20,2,4,1,0,3.199'
3515,Florent Malouda,47,13,12,9,0,0,3.599'
3516,Gabriel Milito,40,2,0,11,1,1,3.530'
3517,Simão,36,15,10,5,0,0,3.194'
3518,Nicolas Anelka,41,12,7,2,0,0,3.495'
3519,David Beckham,36,4,9,15,0,1,2.187'
3520,Manuel Fernandes,22,3,1,5,0,0,1.580'
3521,Éver Banega,27,0,0,10,1,0,2.121'
3522,Abdul Kader Keita,47,10,14,8,0,0,3.486'
3523,Ryan Babel,43,8,8,1,0,0,3.247'
3524,Afonso Alves,40,37,4,2,0,0,3.477'
3525,José Antonio Reyes,38,7,3,3,0,0,1.774'
3526,Yakubu Aiyegbeni,45,16,3,3,0,0,3.939'
3527,Cristian Chivu,42,0,2,8,0,1,3.643'
3528,Juan Román Riquelme,39,10,5,2,0,0,3.344'
3529,Émerson,34,1,3,3,0,0,2.635'
3530,Mirko Vucinic,33,3,4,2,0,0,1.091'
3531,Éric Abidal,44,1,1,1,0,0,3.705'
3532,Mauro Zárate,41,19,0,7,0,0,3.414'
3533,Tiago Mendes,40,6,3,10,0,0,2.914'
3534,Cicinho,8,0,3,0,0,0,453'
3535,Manuel Fernandes,22,3,1,5,0,0,1.580'
3536,Gareth Bale,43,5,12,4,0,0,3.791'
3537,Marcell Jansen,24,1,1,4,0,0,2.126'
3538,Royston Drenthe,32,0,2,11,1,0,2.756'
3539,Nikola Zigic,38,14,1,13,1,0,3.300'
3540,Willian,15,2,2,1,0,0,1.309'
3541,Matuzalém,30,12,6,8,0,0,2.451'
3542,Eduardo,38,39,7,4,0,0,3.291'
3543,Djibril Cissé,27,15,4,5,0,0,2.068'
3544,Raúl García,47,5,0,11,0,1,3.348'
3545,David Suazo,39,15,1,2,0,0,3.512'
3546,Rolando Bianchi,40,19,2,7,0,0,3.396'
3547,Vedran Corluka,36,4,4,6,0,0,3.097'
3548,Alan Hutton,37,1,3,7,0,0,3.220'
3549,Gabriel Heinze,38,1,2,7,0,0,2.909'
3550,Rolando Bianchi,40,19,2,7,0,0,3.396'
3551,Carlos Tevez,29,7,5,4,0,0,1.955'
3552,Nigel Reo-Coker,39,1,0,14,0,0,3.450'
3553,Jorge Andrade,25,0,0,11,0,0,2.224'
3554,Nery Castillo,33,15,9,7,0,1,2.633'
3555,Younès Kaboul,40,2,2,5,1,0,3.348'
3556,Javier Arizmendi,35,5,2,4,0,1,2.844'
3557,Elano,22,8,4,5,0,0,1.363'
3558,Kieron Dyer,30,7,3,1,0,0,2.350'
3559,Arouna Koné,45,15,10,0,0,0,3.785'
3560,Breno,36,2,0,9,0,0,3.101'
3561,Branislav Ivanovic,35,4,7,4,0,0,3.117'
3562,Vincenzo Iaquinta,30,14,5,2,0,1,2.555'
3563,Craig Bellamy,42,9,7,3,0,0,2.662'
3564,Scott Parker,41,4,3,10,0,0,3.388'
3565,Juan,40,4,2,7,0,0,3.606'
3566,Óscar Cardozo,33,21,0,6,0,1,2.939'
3567,Jermain Defoe,48,18,3,5,0,0,2.896'
3568,Cristiano Lucarelli,42,25,1,4,0,0,3.298'
3569,Roy Makaay,46,18,7,2,0,0,3.686'
3570,Tuncay Sanli,51,16,9,8,0,0,4.316'
3571,Mohamed Sissoko,28,0,0,9,0,0,2.012'
3572,Jonathan Woodgate,36,0,1,5,0,0,3.168'
3573,Yaya Touré,30,5,7,2,0,1,2.112'
3574,Sergio Almirón,30,6,1,4,0,0,2.401'
3575,Sergio Almirón,30,6,1,4,0,0,2.401'
3576,Craig Gordon,35,0,2,0,0,37,3.150'
3577,Jonathan Woodgate,36,0,1,5,0,0,3.168'
3578,Sulley Muntari,30,4,3,8,0,3,2.588'
3579,Julien Faubert,38,5,4,5,0,1,3.322'
3580,Fabio Quagliarella,42,14,3,8,0,0,3.155'
3581,Lucas Leiva,11,1,0,2,0,0,726'
3582,John Utaka,37,12,4,1,0,1,2.543'
3583,Peter Odemwingie,54,11,7,5,0,0,3.686'
3584,Ilsinho,19,0,1,2,0,0,1.657'
3585,Giuseppe Rossi,33,10,4,4,0,0,2.114'
3586,Martin Skrtel,29,1,0,10,0,0,2.594'
3587,José Sosa,39,3,0,7,0,0,3.263'
3588,Martin Petrov,13,2,0,3,0,0,908'
3589,Mathieu Bodmer,42,9,7,4,0,0,3.231'
3590,Alexis Ruano,26,2,1,3,1,0,2.295'
3591,Cristiano Lucarelli,42,25,1,4,0,0,3.298'
3592,Seydou Keita,50,12,1,12,0,0,4.387'
3593,Ewerthon,34,7,0,2,0,0,1.679'
3594,Maniche,28,4,0,7,0,0,2.201'
3595,Khalid Boulahrouz,23,0,0,5,0,1,1.597'
3596,Valeri Bojinov,21,7,0,1,0,0,913'
3597,Claudio Pizarro,45,12,7,2,0,0,2.927'
3598,Yildiray Bastürk,27,4,2,3,0,0,2.188'
3599,Luis García,27,6,2,2,0,0,1.680'
3600,Diomansy Kamara,43,23,8,12,1,0,3.520'
3601,David Nugent,48,17,8,11,1,0,3.966'
3602,Bacary Sagna,51,0,4,6,0,0,4.613'
3603,Alan Smith,18,1,5,4,0,0,982'
3604,Kenwyne Jones,38,16,5,2,0,1,2.384'
3605,Franco Semioli,35,2,2,4,0,0,2.777'
